video_id,title,channel_id,channel_title,category,published_at,view_count,like_count,comment_count,region
LIyGjSD53Mw,Romeo Santos - Yo También ft. Marc Anthony [Letra],UCRVcscRzewVOBqfehGBfAuQ,Rebel Rock,Music,2025-09-30T17:03:30Z,14126,22,0,MX
HEQal_Lk6lM,Crearon Un Animatronico Real y Se Escapo / Nosey El Animatronico De Citra,UC0C8Zen__w6b16cN2KecZig,Omenasito,Gaming,2025-10-01T20:54:59Z,262475,12297,2532,MX
NrHowyXHLRw,Katy Perry - The One That Got Away (Lyrics),UC-AVSNvCVhzi0_dwjh-9OIQ,Aquarius Music,Music,2025-09-30T16:00:42Z,85391,217,2,MX
6rXITBSB5g8,MI NOVIA y YO FUIMOS a LA PLAYA,UChMxYvPleimA4ec6Uh3cKnQ,Zerflox :),Gaming,2025-10-01T21:30:58Z,165092,2370,246,MX
qnSbP9pgJZg,"Luis R Conriquez, Fuerza Regida ft. Neton Vega - Chula Vente (Letra)",UC4YW7VEoK1X9wp8uwnD31GA,Nación Mexa,People & Blogs,2025-09-30T19:00:50Z,68820,108,2,MX
MOoQ17En3dQ,Encontré La Oscura Verdad de 67 en Roba un Brainrot...,UC0ZF62HHV_5jGZEqEDcpPgw,DonPanchis,Gaming,2025-10-02T00:19:48Z,302888,3221,400,MX
IcRdK1Bgf0o,●Románticas Para Mi Amor 💝 Grupo Mandingo y Grupo Ladron Mix Para Adoloridos,UCqCnnt0KaHpiLwwbBGaqO_w,Radio 1999,Music,2025-10-02T12:00:41Z,6504,32,1,MX
qdfjHK993sw,EL OSCURO SECRETO OCULTO DE STEAL A BRAINROT COMPLETO (ROBLOX),UCrppUjIbcQjh2Drz8UyuRVg,Chuy Mine,Gaming,2025-10-01T21:15:02Z,280619,2878,190,MX
7-uArYgu9IY,Siempre al 100,UC2sznly-uPhjMbLhZA0VbNw,Los Hnos Rodriguez - Topic,Music,2025-09-30T10:01:58Z,18616,548,6,MX
o6KKlz34GnE,ME ENFRENTO AL REAL MADRID PRIME EN EL MEJOR CLASICO DE LA HISTORIA... EPISODIO 3,UC0nvWiBrtyoZ0iBmYGRjJ6g,Davoo Xeneize Plus,People & Blogs,2025-10-01T14:59:49Z,662993,37171,1748,MX
CVnBBFK-o38,"Pedro Capó, Farruko - Calma (Remix) (Lyrics)",UCRmPovMeLZDTig34yDBZy4A,Chivateando x world,People & Blogs,2025-09-30T13:00:06Z,165661,402,8,MX
EOvIDJlCdd4,VIGILANTE 8 1+2: La Historia En Un Video,UCSM3FVwdCIJfU0OdjKZb94A,El Fedelobo,Gaming,2025-10-02T00:20:01Z,121932,11369,700,MX
WJlMO_r4orM,Shakira - Inevitable (Letra / Lyrics),UCl8zIsdXIVvYOZDMCgwZVFw,beats and beats,People & Blogs,2025-09-30T18:00:06Z,208823,612,7,MX
erm235Aiwms,👶🔥 NOS CONVERTIMOS en BEBÉS ELEMENTALES en ROBLOX | SAJA BOYS 🌊⚡❄️,UC-ajZpkC6h0MSXe8deEesLg,MISTERIO BLOX,Entertainment,2025-10-01T17:00:52Z,175886,1715,29,MX
Lz3ULJvLCkM,"Millonario, Lalote - Las Cuentas (Letra Oficial)",UCtmf9-DaGIrtS4W1N_txwtA,Millonario Oficial,Music,2025-10-02T00:00:06Z,37278,2706,225,MX
_p7f-jZ-qyA,D.A.M.A - Ficar Óai feat. Zé Amaro,UCjSqdWuCt8NWl9QPchl2d8g,D.A.M.A,Music,2025-09-23T23:00:08Z,538461,9514,402,PT
s3pDMUWlA6I,Marvel’s Wolverine - Gameplay Trailer | PS5 Games,UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,Gaming,2025-09-24T21:36:18Z,7326557,484455,17170,PT
y4kaO4JVWnY,A Pirataria Está a Voltar...,UC6eo8jj1kws9Dhde_rTmKoA,Clips do Wuant,Entertainment,2025-09-27T17:43:21Z,103156,6991,453,PT
1-T7xNtOEC4,VIZINHOS - Casar É Pra Esquecer (Vídeo Oficial),UCUim4dxV57iVdgGFyz1SpDA,Vizinhos,Music,2025-09-26T08:00:06Z,160072,3844,75,PT
